Las Vegas Challenge
Sarah Gilpin: 7
Kat Mertsch: 7
Vanessa Van Dyken: 5
Erika Stinchcomb: 4
Deann Carey: 2
Jennifer Allen: 1

Best of 'Des Moines Challenge'
Kat Mertsch: 27
Raven Klein: 24
Jessica Weese: 18
Kristin Tattar: 17
Deann Carey: 12
Shelbi Dutton: 10
Missy Gannon: 9

Best of 'Kansas City Wide Open'
Ali Smith: 2

Best of 'PCS Open'
Ingvild Hellem: 17
Anniken Steen: 8

Best of 'European Open'
Katarina Staalesen: 25
Eliška Bártková: 24
Keiti Tätte: 17
Anniken Steen: 17
Henna Blomroos: 9
Laura Posch: 8
Heidi Laine: 1

Best of 'Mid America Open'
Alexis Kerman: 57
Lindsay Fish: 26
Fresa Jacobs: 5
Ellen Widboom: 4
Deann Carey: 4
Kat Mertsch: 3

Best of 'Ledgestone Open'
Cynthia Ricciotti: 32
Lydia Lyons: 26
Maria Oliva: 25
Missy Gannon: 24
Alexis Mandujano: 19
Madison Walker: 16
Holly Finley: 9
Juliana Korver: 8
Sarah Hokom: 6
Paige Pierce: 6
Deann Carey: 5
Kat Mertsch: 5
Valerie Mandujano: 2
Sarah Gilpin: 1
Rebecca Cox: 1
Stacie Rawnsley: 1
Christine Jennings: 1

Best of 'Idlewild'
Madison Walker: 26
Rebecca Cox: 25
Ellen Widboom: 25
Missy Gannon: 20
Stacie Rawnsley: 20
Alexis Mandujano: 19
Paige Shue: 17
Lisa Fajkus: 11
Alex Benson: 11
Holly Finley: 9
Jessica Weese: 8
Ohn Scoggins: 7
Catrina Allen: 5
Juliana Korver: 5
Deann Carey: 3
Ashleh Baumann: 3
Hannah Manis: 3
Christine Jennings: 1

Best of 'Great Lakes Open'
Deann Carey: 20
Stacie Rawnsley: 19
Kat Mertsch: 17
Tiger Borth: 14
Stacie Hass: 13
Sarah DeMar: 8
Lori Merriman: 5
Alex Benson: 4
Ashleh Baumann: 1

Best of 'Jim Palmeri's AFDO'
Event Not Played

Best of 'PDGA Worlds'
Lindsay Fish: 31
Ella Hansen: 25
Deann Carey: 21
Lauren Butler: 20
Holyn Handley: 19
Lisa Fajkus: 18
Kristin Tattar: 17
Vanessa Van Dyken: 15
Stacie Rawnsley: 15
Casey Pennington: 13
Alexis Mandujano: 13
Missy Gannon: 12
Ohn Scoggins: 12
Kat Mertsch: 12
Leah Tsinajinnie: 11
Cynthia Ricciotti: 9
Jessica Weese: 8
Sarah Gilpin: 8
Sai Ananda: 8
Stephanie Vincent: 6

Best of 'MVP Open'
Deann Carey: 23
Ella Hansen: 22
Natalie Ryan: 22
Rebecca Cox: 14
Kona Star Panis: 13
Madison Walker: 6
Kat Mertsch: 6
Leah Tsinajinnie: 6
Catrina Allen: 5

Best of ''
Event Not Played
